K00002	alcohol dehydrogenase (NADP+)
K19029	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2
K19035	50S ribosomal protein 6
K19036	ATP-dependent RNA/DNA helicase IGHMBP2
K19041	RNF38_E3 ubiquitin-protein ligase RNF38/44
K19054	frataxin
K19176	fatty acid amide hydrolase 2
K19177	dehydrodolichyl diphosphate syntase complex subunit NUS1
K19178	POLQ-like helicase
K19179	glycerophosphoinositol glycerophosphodiesterase
K19195	AT-rich interactive domain-containing protein 4B
K19196	breast cancer metastasis-suppressor 1 and related proteins
K19199	protein-histidine N-methyltransferase
K19201	Sin3 histone deacetylase corepressor complex component SDS3
K19219	peptidyl-lysine (3S)-dioxygenase / protease
K19269	phosphoglycolate phosphatase
K19283	prostatic acid phosphatase
K19306	18S rRNA (guanine1575-N7)-methyltransferase
K19329	WW domain-containing oxidoreductase
K19330	run domain Beclin-1 interacting and cysteine-rich containing protein
K19332	Meckel syndrome type 1 protein
K19348	meckelin
K19352	coiled-coil and C2 domain-containing protein 2A
K19362	transmembrane protein 231
K19363	lipopolysaccharide-induced tumor necrosis factor-alpha factor
K19365	seipin
K19366	spartin
K19367	maspardin
K19370	DnaJ homolog subfamily C member 22
K19371	DnaJ homolog subfamily C member 25
K19375	HSPB1-associated protein 1
K19382	TCTN1_tectonic-1/3
K19384	transmembrane protein 17
K19385	transmembrane protein 216
K19398	Bardet-Biedl syndrome 9 protein
K19399	BBSome-interacting protein 1
K19403	microcephalin
K19410	inner nuclear membrane protein Man1
K19413	lysine-specific histone demethylase 1B
K19415	dimethyl-L-lysine9 demethylase
K19464	pleckstrin homology domain-containing family G member 5
K19465	mitochondrial genome maintenance exonuclease 1
K19472	homeobox protein SIX2
K19473	SIX3_homeobox protein SIX3/6
K19476	vacuolar protein sorting-associated protein IST1
K19478	dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit MAGT1/TUSC3
K19480	anoctamin-5
K19483	neuron navigator 2
K19491	DMRT4_doublesex- and mab-3-related transcription factor 4/5
K19495	juxtaposed with another zinc finger protein 1
K19498	anoctamin-3
K19499	anoctamin-4
K19502	anoctamin-8
K19511	peroxidase
K19513	protein CLEC16A
K19519	transforming growth factor-beta-induced protein
K19525	VPS13A_vacuolar protein sorting-associated protein 13A/C
K19527	vacuolar protein sorting-associated protein 13D
K19530	junctophilin
K19539	selenocysteine insertion sequence-binding protein 2
K19573	alpha-tubulin N-acetyltransferase 1
K19581	LPPR1_2_lipid phosphate phosphatase-related protein type 1/2/5
K19583	putative glycerol kinase 5
K19584	protein kinase X
K19589	release factor glutamine methyltransferase
K19600	tubby and related proteins
K19603	mitogen-activated protein kinase 15
K19606	cartilage-associated protein
K19607	X-linked retinitis pigmentosa GTPase regulator
K19612	2',5'-phosphodiesterase
K19619	tyrosyl-DNA phosphodiesterase 2
K19656	intraflagellar transport protein 122
K19657	nephrocystin-1
K19658	peroxisomal enoyl-CoA hydratase 2
K19662	classical protein kinase C beta type
K19671	WD repeat-containing protein 19
K19672	intraflagellar transport protein 140
K19673	tetratricopeptide repeat protein 21B
K19674	WD repeat-containing protein 35
K19675	intraflagellar transport protein 43
K19676	intraflagellar transport protein 172
K19677	intraflagellar transport protein 81
K19678	intraflagellar transport protein 80
K19679	intraflagellar transport protein 74
K19680	TRAF3-interacting protein 1
K19681	intraflagellar transport protein 52
K19682	intraflagellar transport protein 46
K19683	tetratricopeptide repeat protein 30
K19684	clusterin-associated protein 1
K19685	intraflagellar transport protein 56
K19703	4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase
K19716	ancient ubiquitous protein 1
K19730	autophagy-related protein 101
K19737	type II protein arginine methyltransferase
K19761	gamma-glutamylaminecyclotransferase
K19762	ATP-binding cassette, subfamily B, HAIF transporter
K19763	dual specificity mitogen-activated protein kinase kinase JKK-1
K19764	insulin-like neuropeptide
K19765	heat shock factor-binding protein 1
K19766	HSP16.heat shock protein Hsp-16.1/Hsp-16.11
K19767	HSP16.heat shock protein Hsp-16.48/Hsp-16.49
K19768	HSP12.heat shock protein 12.6
K19769	stress-induced protein 1
K19770	ribonuclease kappa
K19771	lipase
K19772	triacylglycerol lipase
K19773	nuclear hormone receptor family member NHR-80
K19774	homeobox domain-containing protein
K19787	carnosine N-methyltransferase
K19788	obg-like ATPase 1
K19801	phosphatidylinositol 4-kinase B
K19828	mitochondrial GTPase 1
K19832	nitric oxide-associated protein 1
K19862	NCK adaptor protein 2
K19867	PDLIM5_6_PDZ and LIM domain protein 5/6/7
K19871	sal-like protein
K19872	fukutin
K19897	fasciclin 1
K19907	synaptotagmin-7
K19912	synaptotagmin-12
K19914	synaptotagmin-15
K19931	protein lin-7
K19932	neuronal calcium sensor
K19933	calcium-dependent secretion activator
K19934	calcium-binding protein
K19937	Rab3 GTPase-activating protein non-catalytic subunit
K19939	Rab effector Noc2
K19941	synapsin
K19942	dynein regulatory complex subunit 4
K19944	TBC1 domain family member 10
K19947	F-actin monooxygenase
K19952	guanine nucleotide exchange factor
K19953	TBC1 domain family member 6
K19970	5'-nucleotidase
K19983	exocyst complex component 1
K19984	exocyst complex component 5
K19985	exocyst complex component 6
K19986	exocyst complex component 8
K19995	secretory carrier-associated membrane protein
K19998	sec1 family domain-containing protein 1
K20002	SNARE-associated protein Snapin
K20011	peroxiredoxin 3
K20027	ZDHHC1_palmitoyltransferase ZDHHC1/11
K20028	ZDHHC2_15_palmitoyltransferase ZDHHC2/15/20
K20029	ZDHHC3_7_palmitoyltransferase ZDHHC3/7/25
K20030	ZDHHC5_palmitoyltransferase ZDHHC5/8
K20031	palmitoyltransferase ZDHHC6
K20032	ZDHHC13_palmitoyltransferase ZDHHC13/17
K20040	huntingtin-interacting protein 1-related protein
K20042	F-BAR domain only protein
K20044	phosphatidylinositol-binding clathrin assembly protein
K20045	intersectin
K20053	very low-density lipoprotein receptor
K20056	PDZ domain-containing protein GIPC
K20057	synaptojanin-2-binding protein
K20058	integrin beta-1-binding protein 1
K20067	stonin
K20068	RalBP1-associated Eps domain-containing protein
K20069	NECAP1_adaptin ear-binding coat-associated protein 1/2
K20071	Rho GTPase-activating protein 26
K20072	switch-associated protein 70
K20092	chromodomain-helicase-DNA-binding protein 1-like
K20094	CED-cell death protein 9
K20095	16S rRNA (guanosine(1370)-2'-O)-methyltransferase
K20096	ATP-dependent RNA helicase DDX28
K20099	ATP-dependent RNA helicase YTHDC2
K20100	YTH domain-containing protein 1
K20101	ATP-dependent RNA helicase DHX34
K20102	YTH domain-containing family protein
K20103	ATP-dependent RNA helicase DDX60
K20104	programmed cell death activator egl-1 EGL-1
K20105	CED-cell death protein 4
K20106	CED-cell death protein 3
K20121	formin-binding protein 1
K20123	protein kinase C and casein kinase substrate in neurons protein
K20126	nostrin
K20128	metastasis suppressor protein 1
K20129	rabankyrin-5
K20131	Rab5 GDP/GTP exchange factor
K20133	USP6 N-terminal-like protein
K20135	factor VIII intron 22 protein
K20160	DENN domain-containing protein 1
K20161	DENN domain-containing protein 2
K20163	DENN domain-containing protein 4
K20164	DENN domain-containing protein 5
K20166	TBC1 domain family member 2B
K20167	TBC1 domain family member 14
K20168	TBC1 domain family member 15
K20173	RILP-like protein 1
K20174	OSBPL1_oxysterol-binding protein-related protein 1/2
K20176	small G protein signaling modulator 3
K20177	vacuolar protein sorting-associated protein 3
K20178	vacuolar protein sorting-associated protein 8
K20179	vacuolar protein sorting-associated protein 11
K20180	vacuolar protein sorting-associated protein 16
K20181	vacuolar protein sorting-associated protein 18
K20182	vacuolar protein sorting-associated protein 33A
K20183	Vam6/Vps39-like protein vacuolar protein sorting-associated protein 39
K20184	vacuolar protein sorting-associated protein 41
K20185	biogenesis of lysosome-related organelles complex 1 subunit 1
K20191	Hermansky-Pudlak syndrome 5 protein
K20195	vacuolar fusion protein MON1
K20196	kinesin family member 3B
K20198	kinesin family member 17
K20211	prospero homeobox 1
K20213	RUNX transcription factor Runt
K20217	ubiquitin-conjugating enzyme E2 E
K20222	importin-5
K20223	importin-7
K20225	capicua transcriptional repressor
K20236	Mats homologue
K20241	WD repeat-containing protein 44
K20242	ecotropic viral integration site 5 protein
K20251	glutamate receptor-interacting protein
K20278	inositol polyphosphate 5-phosphatase INPP5E
K20279	synaptojanin
K20280	trafficking protein particle complex subunit 5
K20281	GRIP and coiled-coil domain-containing protein 1
K20283	golgin subfamily A member 4
K20284	Rab GTPase-activating protein 1
K20286	TATA element modulatory factor
K20288	conserved oligomeric Golgi complex subunit 1
K20289	conserved oligomeric Golgi complex subunit 2
K20290	conserved oligomeric Golgi complex subunit 3
K20291	conserved oligomeric Golgi complex subunit 4
K20292	conserved oligomeric Golgi complex subunit 5
K20293	conserved oligomeric Golgi complex subunit 6
K20294	conserved oligomeric Golgi complex subunit 7
K20295	conserved oligomeric Golgi complex subunit 8
K20296	vacuolar protein sorting-associated protein 51
K20298	vacuolar protein sorting-associated protein 52
K20299	vacuolar protein sorting-associated protein 53
K20300	trafficking protein particle complex subunit 1
K20301	trafficking protein particle complex subunit 2
K20302	trafficking protein particle complex subunit 3
K20303	trafficking protein particle complex subunit 4
K20304	trafficking protein particle complex subunit 6
K20305	trafficking protein particle complex subunit 8
K20306	trafficking protein particle complex subunit 9
K20307	trafficking protein particle complex subunit 10
K20308	trafficking protein particle complex subunit 11
K20309	trafficking protein particle complex subunit 12
K20310	trafficking protein particle complex subunit 13
K20314	arfaptin
K20315	ARHGAP21_Rho GTPase-activating protein 21/23
K20316	short coiled-coil protein
K20317	c-Jun-amino-terminal kinase-interacting protein 4
K20318	protein SYS1
K20346	TMED4_9_p24 family protein alpha
K20347	p24 family protein beta-1
K20349	p24 family protein gamma-3
K20352	p24 family protein delta-1
K20353	COPII coat assembly protein SEC16
K20358	golgin subfamily A member 2
K20359	PRA1 family protein 1
K20360	TBC1 domain family member 2
K20362	protein transport protein YIF1
K20363	YIPF5_protein YIPF5/7
K20364	multiple coagulation factor deficiency protein 2
K20365	endoplasmic reticulum-Golgi intermediate compartment protein 1
K20366	endoplasmic reticulum-Golgi intermediate compartment protein 2
K20367	endoplasmic reticulum-Golgi intermediate compartment protein 3
K20368	protein cornichon
K20369	ER-derived vesicles protein
K20371	nucleobindin
K20372	TBC1 domain family member 20
K20392	PRA1 family protein 2
K20393	PRA1 family protein 3
K20394	sestrin 2
K20396	TBC1 domain family member 7
K20397	ragulator complex protein LAMTOR1
K20398	ragulator complex protein LAMTOR2
K20399	ragulator complex protein LAMTOR4
K20401	folliculin-interacting protein 2
K20403	TELO2-interacting protein 1
K20404	SEA/GATOR complex protein SEA1/DEPDC5
K20405	nitrogen permease regulator 2
K20406	nitrogen permease regulator 3
K20407	SEA/GATOR complex protein SEA4/MIOS
K20408	SEA/GATOR complex protein SEA2/WDR24
K20409	SEA/GATOR complex protein SEA3/WDR59
K20410	target of rapamycin complex 2 subunit MAPKAP1/AVO1
K20456	oxysterol-binding protein 1
K20463	OSBPL3_6_oxysterol-binding protein-related protein 3/6/7
K20465	OSBPL9_10_oxysterol-binding protein-related protein 9/10/11
K20471	coatomer subunit delta
K20472	coatomer subunit zeta
K20473	neuroblastoma-amplified sequence
K20474	RAD50-interacting protein 1
K20476	RAB6A-GEF complex partner protein 1
K20477	RAB6A-GEF complex partner protein 2
K20493	leucine-rich repeat-containing protein 16
K20520	drebrin-like protein
K20526	transgelin
K20547	basic endochitinase B
K20630	CHN1_chimaerin
K20631	Rho GTPase-activating protein 6
K20632	deleted in liver cancer protein
K20635	Rho GTPase-activating protein 11
K20636	ARHGAP12_Rho GTPase-activating protein 12/27
K20638	Rho GTPase-activating protein 17
K20641	Rho GTPase-activating protein 20
K20643	Rho GTPase-activating protein RGD1
K20647	Rho GTPase-activating protein 32
K20649	Rho GTPase-activating protein 39
K20655	Rho GTPase-activating protein SYDE
K20656	plasmanylethanolamine desaturase
K20685	guanine nucleotide exchange factor MCF2
K20689	Rho guanine nucleotide exchange factor 17
K20690	Rho guanine nucleotide exchange factor 25
K20704	protein ECT2
K20705	dynamin-binding protein
K20719	sigma non-opioid intracellular receptor
K20721	reticulon-1
K20724	transmembrane protein 33
K20773	DNA endonuclease RBBP8
K20777	exonuclease 3'-5' domain-containing protein 2
K20784	arabinosyltransferase
K20790	nucleoside diphosphate kinase homolog 5
K20791	NAA10_N-alpha-acetyltransferase 10/11
K20792	NAA15_N-alpha-acetyltransferase 15/16, NatA auxiliary subunit
K20793	N-alpha-acetyltransferase 50
K20794	N-alpha-acetyltransferase 40
K20796	PRDM7_[histone H3]-lysine4 N-trimethyltransferase PRDM7/9
K20803	ubiquitin-protein ligase E3 D
K20813	thymine-DNA glycosylase
K20818	KxDL motif-containing protein 1
K20819	BLOC-1 related complex subunit 5
K20820	BLOC-1 related complex subunit 6
K20822	BLOC-1 related complex subunit 8
K20823	N-alpha-acetyltransferase 35, NatC auxiliary subunit
K20824	N-alpha-acetyltransferase 38, NatC auxiliary subunit
K20826	RNA polymerase II-associated protein 1
K20827	RNA polymerase II-associated protein 2
K20839	ribosomal protein S6 kinase-like
K20840	MFS transporter, PCFT/HCP family, solute carrier family 46, member 3
K20858	calcium uniporter protein, mitochondrial
K20876	serine/threonine-protein kinase Nek7
K20877	serine/threonine-protein kinase Nek8
K20879	serine/threonine-protein kinase Nek10
K20888	xyloglucan galactosyltransferase MUR3
K20967	GTP 3',8-cyclase / cyclic pyranopterin monophosphate synthase
K21027	tRNA-5-taurinomethyluridine 2-sulfurtransferase
K21032	beta-1,4-glucuronyltransferase 1
K21066	A-kinase anchor protein 18
K21121	N-alpha-acetyltransferase 60
K21123	serine/arginine-rich splicing factor 9
K21138	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
K21198	gamma-soluble NSF attachment protein
K21232	molybdopterin synthase sulfur carrier subunit
K21248	vacuole membrane protein 1
K21249	UV radiation resistance-associated gene protein
K21269	endophilin-B2
K21283	bone morphogenetic protein 2
K21286	protein N-terminal glutamine amidohydrolase
K21343	ubiquitin carboxyl-terminal hydrolase 15
K21358	serine/threonine-protein kinase ULK3
K21396	ATP-binding cassette, subfamily G (WHITE), eye pigment precursor transporter
K21398	natural resistance-associated macrophage protein 2
K21403	2-phosphoxylose phosphatase
K21411	ankyrin repeat and LEM domain-containing protein 1
K21412	ankyrin repeat and LEM domain-containing protein 2
K21413	ankyrin repeat and SAM domain-containing protein 1
K21415	ankyrin repeat and SAM domain-containing protein 6
K21437	ankyrin repeat domain-containing protein 13
K21439	ankyrin repeat domain-containing protein 49
K21444	PCBP3_poly(rC)-binding protein 3/4
K21456	glutathione synthase
K21594	translation factor GUF1, mitochondrial
K21596	calmodulin-binding transcription activator
K21737	acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase
K21751	down-regulator of transcription 1
K21752	Dr1-associated corepressor
K21763	mitogen-activated protein kinase binding protein 1
K21766	tubulin-specific chaperone C
K21767	tubulin-specific chaperone D
K21768	tubulin-specific chaperone E
K21770	G2/mitotic-specific cyclin-B2
K21771	G2/mitotic-specific cyclin-B3
K21772	transcriptional activator protein Pur-alpha
K21797	phosphatidylinositol 4-phosphatase
K21798	phosphatidylinositol 4-phosphatase
K21804	protein N-lysine methyltransferase METTL21A
K21806	protein N-lysine methyltransferase METTL21D
K21813	endonuclease V
K21841	TBC1 domain family member 24
K21842	protein EFR3
K21843	tetratricopeptide repeat protein 7
K21844	protein FAM126
K21847	small G protein signaling modulator 1
K21848	lipid intermediate transporter
K21852	DOCK6_7_dedicator of cytokinesis protein 6/7/8
K21853	DOCK9_10_dedicator of cytokinesis protein 9/10/11
K21863	sodium leak channel non-selective protein
K21870	barrier-to-autointegration factor
K21871	M-phase phosphoprotein 8
K21873	protein TASOR
K21890	growth hormone-inducible transmembrane protein
K21891	calcium load-activated calcium channel
K21893	neuroglobin
K21914	KCTD2_5_BTB/POZ domain-containing protein KCTD2/5/17
K21915	BTB/POZ domain-containing protein KCTD3
K21918	KCTD8_12_BTB/POZ domain-containing protein KCTD8/12/16
K21919	BTB/POZ domain-containing protein KCTD9
K21922	BTB/POZ domain-containing protein KCTD21
K21932	C-ets-2
K21952	CASK-interacting protein
K21956	DNA damage-regulated autophagy modulator protein 2
K21958	extracellular serine/threonine protein kinase FAM20C
K21970	5-methylcytosine rRNA methyltransferase NSUN4
K21971	methyltransferase NSUN6
K21988	transmembrane channel-like protein
K21991	protein unc-45
K22030	leiomodin
K22037	innexin
K22045	B-cell lymphoma/leukemia 11A
K22063	iron-sulfur cluster assembly 1
K22066	BolA-like protein 1
K22068	iron-sulfur cluster assembly enzyme ISCU, mitochondrial
K22069	LYR motif-containing protein 4
K22070	ferredoxin-1, mitochondrial
K22071	ferredoxin-2, mitochondrial
K22072	iron-sulfur cluster assembly 2
K22073	transferase CAF17, mitochondrial
K22074	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
K22075	BolA-like protein 3
K22076	mitochondrial fission factor
K22128	PIEZO1_piezo-type mechanosensitive ion channel component 1/2
K22138	mitochondrial pyruvate carrier 1
K22139	mitochondrial pyruvate carrier 2
K22182	thioredoxin reductase (NADPH)
K22188	chloride channel CLIC-like protein 1
K22193	golgi pH regulator
K22197	BRG1-associated factor 45A
K22204	bestrophin, other
K22234	homeobox protein CDX2
K22255	ATPase inhibitor, mitochondrial
K22261	protein sepa-1
K22262	WD repeat and FYVE domain-containing protein 3
K22263	ectopic P granules protein 2
K22282	fatty acid hydroxylase domain-containing protein 2
K22285	oxysterol-binding protein-related protein 8
K22329	TDC-tyrosine decarboxylase
K22366	thioredoxin reductase-like selenoprotein T
K22369	epoxide hydrolase 4
K22375	E3 ubiquitin-protein ligase DCST1
K22376	E3 ubiquitin-protein ligase KCMF1
K22377	E3 ubiquitin-protein ligase listerin
K22380	E3 ubiquitin-protein ligase TM129
K22381	E3 ubiquitin-protein ligase ZNF598
K22382	WD repeat-containing protein 26
K22383	interferon regulatory factor 2-binding protein
K22385	calcium signal-modulating cyclophilin ligand
K22388	NGFI-A-binding protein
K22390	acid phosphatase type 7
K22399	pachytene checkpoint protein 2
K22400	Fer3-like protein
K22403	zinc finger MIZ domain-containing protein
K22412	SDC-zinc finger protein Sdc-1
K22414	polymerase delta-interacting protein 3
K22415	zinc finger CCCH domain-containing protein 11
K22422	protein downstream neighbor of Son
K22449	tubulin-specific chaperone cofactor E-like protein
K22470	eukaryotic sulfide quinone oxidoreductase
K22503	aspartyl-tRNA synthetase
K22522	cytokinin riboside 5'-monophosphate phosphoribohydrolase
K22523	sulfotransferase 6B1
K22524	WW domain-binding protein 2
K22525	MKL/myocardin-like protein
K22530	outer mitochondrial transmembrane helix translocase
K22531	ATPase family AAA domain-containing protein 2
K22538	mitochondrial RNA pseudouridine synthase RPUSD4
K22544	deoxynucleoside triphosphate triphosphohydrolase SAMHD1
K22555	TBC1 domain family member 23
K22556	mesencephalic astrocyte-derived neurotrophic factor
K22560	COMM domain containing 4
K22561	COMM domain containing 5
K22566	COMM domain containing 10
K22583	metalloproteinase inhibitor 2
K22600	guanylate cyclase 2G
K22610	lysine-specific demethylase 9
K22611	squamous cell carcinoma antigen recognized by T-cells 3
K22641	protein tweety
K22651	E3 ubiquitin-protein ligase RNF4
K22653	neuroplastin
K22654	immunoglobulin superfamily DCC subclass member 3
K22656	immunoglobulin superfamily member 9B
K22657	immunoglobulin superfamily DCC subclass member 4
K22659	calsyntenin 1
K22679	growth differentiation factor 11
K22687	inhibin beta B chain
K22696	protein-lysine N-methyltransferase EEF2KMT
K22697	phosphatidylethanolamine phospholipase C
K22733	magnesium transporter
K22735	sodium/potassium-transporting ATPase subunit beta-1-interacting protein
K22738	PDF receptor
K22746	anamorsin
K22747	apoptosis-inducing factor 3
K22755	E3 UFM1-protein ligase 1
K22756	E3 SUMO-protein ligase NSE2
K22758	coiled-coil-helix-coiled-coil-helix domain-containing protein 2
K22761	DNA-directed primase/polymerase protein
K22763	deubiquitinase DESI2
K22764	transmembrane protein 107
K22765	transmembrane protein 237
K22766	fidgetin-like protein 1
K22792	trissin receptor
K22803	structural maintenance of chromosomes protein 5
K22804	structural maintenance of chromosomes protein 6
K22808	KN motif and ankyrin repeat domain-containing protein
K22815	Oct-octopamine/tyramine receptor
K22816	CNPY3_protein canopy 3/4
K22817	non-structural maintenance of chromosomes element 1
K22824	pre-mRNA-splicing regulator WTAP
K22825	non-structural maintenance of chromosomes element 4
K22827	calcium uptake protein 1, mitochondrial
K22830	essential MCU regulator, mitochondrial
K22843	ETFB lysine methyltransferase
K22855	EEF1A lysine methyltransferase 1
K22856	EEF1A lysine methyltransferase 2
K22857	EEF1A lysine methyltransferase 4
K22858	protein JBTS26
K22864	LisH domain-containing protein ARMC9
K22866	tctex1 domain-containing protein 2
K22867	transmembrane protein 138
K22868	WD repeat-containing protein 34
K22869	WD repeat-containing protein 60
K22870	zinc finger protein 423
K22872	ASTC-allatostatin C receptor
K22878	cytochrome P450 daf-9
K22909	zinc finger CCCH domain-containing protein 13
K22910	protein virilizer
K22913	phosphatidylinositol 3,5-bisphosphate 5-phosphatase
K22919	dopamine/ecdysteroid receptor
K22936	CNPY1_protein canopy 1/2
K22937	lysosomal-trafficking regulator
K22939	immediate early response 3-interacting protein 1
K22940	YIPF1_protein YIPF1/2
K22941	protein YIPF3
K22942	protein YIPF4
K22943	protein YIPF6
K22985	G protein-coupled receptor 107
K22988	transmembrane protein adipocyte-associated 1
K22990	torsin-1
K22991	WD repeat-containing protein 45
K23001	torsin-1A-interacting protein
K23002	RNA polymerase II-associated protein 3
K23014	inactive dipeptidyl peptidase 10
K23029	EF-hand domain-containing protein 1
K23034	terminal nucleotidyltransferase 5C
K23038	zinc finger CCCH domain-containing protein 14
K23040	methyltransferase-like protein 22
K23048	RING finger protein unkempt
K23049	headcase protein
K23087	tissue factor pathway inhibitor 2
K23092	mab-21 family protein
K23096	repulsive guidance molecule A
K23114	damage-control phosphatase, subfamily III
K23151	methyltransferase-like protein 23
K23164	reticulon-4-interacting protein 1, mitochondrial
K23166	optic atrophy 3 protein
K23192	myelin transcription factor 1
K23194	transcriptional repressor p66
K23195	transcriptional repressor CTCF
K23203	THAP1_THAP domain-containing protein 1/3
K23205	THAP domain-containing protein 4
K23218	zinc finger MYND domain-containing protein 11
K23222	nuclease HARBI1
K23234	aminomuconate-semialdehyde dehydrogenase
K23281	vacuolar protein sorting-associated protein 33B
K23282	pleckstrin homology domain-containing family M member 1
K23285	PTB domain-containing engulfment adapter protein 1
K23287	VPS33B-interacting protein in polarity and apical restriction
K23288	syndetin
K23289	EARP and GARP complex-interacting protein 1
K23292	endoplasmic reticulum junction formation protein lunapark
K23294	phosphofurin acidic cluster sorting protein 2
K23295	KICSTOR complex protein kaptin
K23296	KICSTOR complex protein ITFG2
K23297	KICSTOR complex protein C12orf66
K23298	KICSTOR complex protein SZT2
K23308	nuclear fragile X mental retardation-interacting protein 1
K23314	telomerase Cajal body protein 1
K23318	gremlin
K23325	transducin beta-like protein 2
K23326	cyclin K
K23327	protein Hikeshi
K23331	DDB1- and CUL4-associated factor 17
K23332	RING finger and SPRY domain-containing protein 1
K23333	E3 ubiquitin-protein transferase RMND5
K23334	RANBP9_Ran-binding protein 9/10
K23335	glucose-induced degradation protein 4
K23336	armadillo repeat-containing protein 8
K23338	glucose-induced degradation protein 8
K23339	protein yippee-like 5
K23340	transmembrane and ubiquitin-like domain-containing protein
K23341	erlin
K23343	coiled-coil domain-containing protein 22
K23344	DDRGK domain-containing protein 1
K23353	PDLIM1_2_3_PDZ and LIM domain protein 1/2/3/4
K23354	LIMS1_LIM and senescent cell antigen-like-containing domain protein 1/2
K23358	transcription initiation factor TFIID subunit 1, fungi type
K23362	ethanolamine phosphate phosphodiesterase
K23387	golgi to ER traffic protein 4
K23388	ubiquitin-like protein 4
K23390	large proline-rich protein BAG6
K23398	activating signal cointegrator 1
K23404	transmembrane anterior posterior transformation protein 1
K23406	chromatin complexes subunit BAP18
K23407	GATA zinc finger domain-containing protein 1
K23413	anosmin-1
K23424	protein O-mannosyl-transferase
K23435	cytosolic carboxypeptidase protein 1
K23439	cytosolic carboxypeptidase protein 6
K23456	cilla- and flagella-associated protein
K23460	Rab proteins geranylgeranyltransferase component A
K23479	CCAAT/enhancer binding protein (C/EBP), other
K23480	ZNF362_zinc finger protein 362/384
K23487	Ena/VASP-like protein
K23488	Ras-associated and pleckstrin homology domains-containing protein 1
K23489	HGF/MSP/plasminogen-like protein
K23490	cytochrome b5
K23491	catenin delta-2
K23495	RCC1-like G exchanging factor-like protein
K23497	mitochondrial mRNA pseudouridine synthase TRUB2
K23499	required for meiotic nuclear division protein 1
K23500	SFXN1_sideroflexin-1/3
K23501	sideroflexin-2
K23503	sideroflexin-5
K23504	protein SERAC1
K23505	complex I assembly factor TIMMDC1
K23506	apoptogenic protein 1
K23518	O-acetyl-ADP-ribose deacetylase
K23531	CABP1_2_4_calcium-binding protein 1/2/4/5
K23532	WD repeat and FYVE domain-containing protein 2
K23533	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein
K23538	ELMO domain-containing protein
K23539	protein unc-119
K23541	Ca2+/H+ antiporter, TMEM165/GDT1 family
K23542	TMEM199 family protein
K23543	coiled-coil domain-containing protein 115
K23544	serine incorporator 1
K23552	post-GPI attachment to proteins factor 2
K23553	post-GPI attachment to proteins factor 3
K23554	GRAM domain-containing protein 4
K23560	zinc finger homeobox protein 2
K23561	CLK1_dual specificity protein kinase CLK1/4
K23562	ER membrane protein complex subunit 1
K23563	ER membrane protein complex subunit 2
K23564	ER membrane protein complex subunit 3
K23565	ER membrane protein complex subunit 4
K23566	membrane magnesium transporter 1
K23567	ER membrane protein complex subunit 6
K23568	ER membrane protein complex subunit 7
K23569	EMC8_ER membrane protein complex subunit 8/9
K23570	ER membrane protein complex subunit 10
K23581	transcription factor SOX4 (SOX group C)
K23582	forkhead box protein P1
K23583	KPNA3_importin subunit alpha-4/3
K23588	MLLT6_protein AF-17/10
K23600	TAR DNA-binding protein 43
K23605	mothers against decapentaplegic homolog 3
K23609	guanine nucleotide exchange protein C9orf72
K23611	guanine nucleotide exchange protein SMCR8
K23612	neural Wiskott-Aldrich syndrome protein
K23616	ATXN1_ataxin 1/1L
K23623	WAP four-disulfide core domain protein 8
K23624	papilin
K23636	WAP four-disulfide core domain protein 2
K23637	WAP four-disulfide core domain protein 3
K23639	WAP four-disulfide core domain protein 5
K23677	MFS transporter, Spinster family, sphingosine-1-phosphate transporter
K23678	solute carrier family 66 (lysosomal lysine-arginine transporter), member 1
K23679	solute carrier family 66, member 2
K23687	RIN2_Ras and Rab interactor 2/3
K23688	breast cancer anti-estrogen resistance protein 3
K23691	serine/threonine-protein kinase N2
K23697	SHB_D_E_SH2 domain-containing adapter protein B/D/E/F
K23704	transport and golgi organization protein 1
K23712	SH3 and cysteine-rich domain-containing protein 2
K23714	SH3 domain-containing protein 19
K23715	SH3 domain-containing protein 21
K23718	protein SON
K23720	UV-stimulated scaffold protein A
K23727	CERS5_sphingoid base N-palmitoyltransferase
K23735	lipoyl(octanoyl) transferase 2
K23739	SH3-domain binding protein 5
K23741	endoplasmic reticulum Man9GlcNAc2 1,2-alpha-mannosidase
K23759	protein S100-A2
K23789	E3 ubiquitin-protein ligase RNF145
K23790	glutathione S-transferase P
K23791	sesquipedalian
K23792	myosin phosphatase Rho-interacting protein
K23801	nuclear mRNA export protein PCID2/THP1
K23802	SAC3 family protein LENG8/THP3
K23804	GON-4-like protein
K23820	sushi domain-containing protein 2
K23837	calcium and integrin-binding protein 2
K23841	clarin
K23843	calcium uptake protein 3, mitochondrial
K23847	hippocalcin-like protein 1
K23852	EF-hand calcium-binding domain-containing protein 7
K23855	Kv channel-interacting protein
K23858	pleckstrin homology domain-containing family F
